;Unnamed: 0;name;area;min_salary;max_salary;employer;created_at;days_passed;experience;employment;schedule;description;responsibility;requirement;conditions;key_skills
533;533;Веб-дизайнер;Уфа;25000.0;30000.0;Семь вершин;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;"Должностные обязанности:• Проектирование и дизайн для новых проектов (лендинги, промо-страницы, веб-журнал);• Поддержка существующих сайтов (баннеры, доработка интерфейсов);• Работа над юзабилити, анализ слабых сторон дизайна, их исправления;• Подготовка макетов для информационных рассылок.• Разработка рекламных макетов и взаимодействие с рекламодателями• Создание инфографик • Создание баннеров HTML 5.Требования:• Отличное владение Adobe Flash, InDesign, Illustrator, Photoshop• Понимание возможностей и ограничений верстки (HTML и СSS3).• Понимание принципов оптимизации изображений для веб.• Наличие опыта проектирования интерфейсов.• Приветствуется опыт работы в аналогичных проектах• Приветствуется знание Adobe Muse, Adobe AnimateМы предлагаем:• Уровень дохода обсуждается на собеседовании  ";Проектирование и дизайн для новых проектов (лендинги, промо-страницы, веб-журнал). Поддержка существующих сайтов (баннеры, доработка интерфейсов). Работа над юзабилити...;Отличное владение Adobe Flash, InDesign, Illustrator, Photoshop. Понимание возможностей и ограничений верстки (HTML и СSS3). Понимание принципов оптимизации изображений...;;
584;584;Веб-дизайнер;Краснодар;20000.0;50000.0;MH STUDIO;2019-11-24;10;От 1 года до 3 лет;Полная занятость;Гибкий график;"Компания MH-STUDIO - Приглашает на работу Веб Дизайнера в сфере услуг интернет маркетинга, в молодой энергичный коллектив     Обязанности: - создание логотипов; - разработка фирстилей; - разработка макетов сайта - оформление брендбуков; - оформление рекламных материалов; - активное участие в новых проектах компании - выполнение поручений руководителя отдела маркетинга. Наши основные требования : - опыт работы с графическими редакторами; - отличное владение Adobe Photoshop, Illustrator; Вашим преимуществом будет: - готовность работать в режиме многозадачности; - творческий подход к выполнению работы; - позитивное мышление. - креатив Условия:  График работы Пн.-Пт. с 10:00 до 16:00 Оформление по ТК РФ Интересную работу в молодом и амбициозном коллективе, адекватных руководителей, которые, заинтересованы в твоем профессиональном росте!  Мы ждем твое резюме! Будь среди лучших !";создание логотипов. - разработка фирстилей. - разработка макетов сайта. - оформление брендбуков. - оформление рекламных материалов. - активное участие в новых проектах компании. - ;опыт работы с графическими редакторами. - отличное владение Adobe Photoshop, Illustrator. Вашим преимуществом будет: - готовность работать в режиме многозадачности. - ;;"Adobe Illustrator;Adobe Photoshop;Графический дизайн;Креативность;Дизайн;Графика;Многозадачность;Графические редакторы"
588;588;Веб-дизайнер;Москва;50000.0;65000.0;Drone Sports Global;2019-12-03;1;Нет опыта;Полная занятость;Полный день;Компания RuDroneGroup ищет в команду веб дизайнера, который будет разрабатывать сайты многостранички и лендинги компании с услугами и сервисами. Обязанности:  Разработка сайтов группы компаний Разработка фирменного дизайна и цветов Наполнение порталов контентом Адаптация сайтов под разные форматы устройств Регулярное поддержание ресурсов  Требования:  Релевантный опыт Портфолио работ  Условия:  Гибкий график Интересная отрасль деятельности молодой коллектив ;Разработка сайтов группы компаний. Разработка фирменного дизайна и цветов. Наполнение порталов контентом. Адаптация сайтов под разные форматы устройств. ;Релевантный опыт. Портфолио работ.;;"Adobe Photoshop;Adobe Illustrator;Веб-дизайн;HTML;CorelDRAW;Разработка сайтов"
1042;1042;Веб-дизайнер;Санкт-Петербург;60000.0;70000.0;А-СИСТЕМ;2019-12-04;0;От 1 года до 3 лет;Полная занятость;Полный день;"Один из наших проектов – обучающая платформа с геймификацией Lumiknow.  В нашу дружную и веселую команду разыскивается веб-дизайнер.Кто любит работать в данной отрасли, хочет в ней развиваться и стать крутым специалистом, добро пожаловать к нам.  Задачи:   Редизайн имеющихся страниц на сайте; Анализ и внесение изменений в ux; Проектирование и отрисовка мобильного приложения; Помощь в оформлении дополнительных материалов (конспектов) для курсов; Отрисовка иконок; Помощь в создании несложных иллюстраций;  Что для нас важно:  Умение работать с figma (обязательно), adobe photoshop, adobe illustrator; Опыт и умение работать с сетками и ui-гайдами; Знание и умение грамотно применять основы ux; Чувство прекрасного и чувство юмора; Адекватное восприятие правок; Оценивать сроки исходя из тз, при необходимости вносить коррективы; Умение аргументировать свою точку зрения; Умение задавать вопросы; Умение работать в команде.  Что мы готовы предложить:  Официальное трудоустройство; Выплаты зарплаты 2 раза в месяц без задержек; Гибкий график с 10 до 19; Возможность работать периодически удаленно (но в офисе тоже нужно будет появляться); Офис в собственном особняке недалеко от ст. м. Озерки; Годная команда, с которой можно и пошутить и решить серьезные вопросы; Никакого дресс-кода и бесплатный кофе :)  Перед собеседованием мы предложим выполнить вам тестовое задание. Для ознакомления:  наш сайт: https://lumiknow.ru/ наш блог: https://blog.lumiknow.ru/ege/ на ВК: https://vk.com/lumiknow";Редизайн имеющихся страниц на сайте. Анализ и внесение изменений в ux. Проектирование и отрисовка мобильного приложения. Помощь в оформлении дополнительных...;Умение работать с figma (обязательно), adobe photoshop, adobe illustrator. Опыт и умение работать с сетками и ui-гайдами. ;;"Adobe Illustrator;Adobe Photoshop;Грамотность;Графика;Figma"
1564;1564;Веб-дизайнер;Москва;50000.0;75000.0;Интернет студия 100АП;2019-12-01;3;От 1 года до 3 лет;Полная занятость;Полный день;Ищем нового интересного человека в очень дружелюбный коллектив на новые интересные проекты. Прошу приложить ссылки на 3 самых лучших проекта.   Должностные обязанности:  Проектирование пользовательских интерфейсов, веб-сайтов, адаптивный версий, Разработка креативных концепций Проработка сценариев использования Сопровождение и контроль над качеством реализации проектов.    Требования к кандидату:  Опыт проектирования интерфейсов (UI Design) Владение инструментами UX-разработки Внимание к деталям и способность воспринимать работу в целом Профессиональное владение инструментами прототипирования Умение быстро прототипировать Отличное владение основными графическими редакторами (Photoshop, Illustrator) Чувство «качественного дизайна» Желание работать на результат Портфолио обязательно    Подробности:  м. Ленинский проспект (комфортабельный офис А класса в 7 минутах ходьбы) 5-ти дневка Вкусная столовая с приемлемыми ценами Обустройство рабочего места по вашему требованию Денежное вознаграждение от 70 000 и до 100 000 руб (всё зависит от качества работ) Дружелюбная атмосфера Чай, кофе, воды, соки, виски    Мы не занимаемся типовыми проектами! Много интересных проектов для крупнейших компаний страны.  ;Проектирование пользовательских интерфейсов, веб-сайтов, адаптивный версий. Разработка креативных концепций. Проработка сценариев использования. Сопровождение и контроль над качеством реализации проектов.;Опыт проектирования интерфейсов (UI Design). Владение инструментами UX-разработки. Внимание к деталям и способность воспринимать работу в целом. ;;
74;74;Веб-дизайнер;Москва;100000.0;120000.0;Пегас-Туристик;2019-11-08;26;От 1 года до 3 лет;Полная занятость;Полный день;"Обязанности:  Прототипирование и визуализация интерфейсов; Разработка дизайна сайтов компании, внутренних систем, посадочных страниц; Проектирование и отрисовка адаптивного интерфейса; Отрисовка UI-сетов и элементов интерфейса; Разработка анимации UI элементов; Подготовка дизайн-макетов для верстки; Работа над высоконагруженным enterprise-проектом.  Требования:  Опыт в проектировке интерфейсов сайтов различной сложности; Опыт разработки макетов интерфейса под десктоп и мобильные устройства; Опыт разработки UI-сетов и элементов интерфейса; Понимание веб-стандартов и основ CSS и HTML, а так же принципов вывода информации на сайтах; Умение объяснить верстальщику и программисту концепцию разработанного интерфейса; Умение и желание работать в команде; Умение работать в Adobe Photoshop, Adobe Illustrator, Sketch; Умение работать с инструментами для прототипирования (Invision, Principle, Flinto, UXPin или другие); Умение или желание анализировать UX решения с помощью метрик и аналитики – приветствуется; Чувствовать стиль, понимать и владеть современными трендами в web дизайне и графическом дизайне – приветствуется.  Условия:  График работы: 5/2 с 10.00-19.00 Работа в одном из крупнейших туроператоров России Оформление строго в соответствии с требованиями ТК РФ 100% &quot;белая&quot; заработная плата, оплачиваемый больничный Скидки на покупку турпакетов компании для сотрудников и членов их семей Испытательный срок – 3 месяца В шаговой доступности от метро Сокол ";Прототипирование и визуализация интерфейсов. Разработка дизайна сайтов компании, внутренних систем, посадочных страниц. Проектирование и отрисовка адаптивного интерфейса. Отрисовка UI-сетов...;Опыт в проектировке интерфейсов сайтов различной сложности. Опыт разработки макетов интерфейса под десктоп и мобильные устройства. Опыт разработки UI-сетов...;;"Sketch;UI;UX;Прототипирование;Adobe Illustrator;Adobe Photoshop;Landing Page;Google Analytics;Яндекс.Метрика"
491;491;Веб-дизайнер;Москва;25000.0;;ЛПГЕНЕРАТОР;2019-11-11;23;От 1 года до 3 лет;Проектная работа;Удаленная работа;"В компанию LPgenerator.ru&amp;Experrto.io в связи с активным развитием новых проектов требуется веб-дизайнер на почасовую работу с перспективой перевода в штат на фикс фултайм. Два основных требования к кандидату: гиперответственность и мегаобучаемость! Что нужно будет дизайнить:   лендинги, рекламные баннеры, поп-апы;   коммерческие предложения, презентации, шаблоны писем, инфографику;   внешние страницы сайтов и части интерфейса;   плакаты, флаги, футболки, блокноты.   Что мы ждем от кандидата:   навыки работы с Photoshop, СorelDRAW, InDesign, реальное портфолио, идеально - если с показателями конверсии, например, для лендингов или баннеров;   пунктуальность, дисциплинированность, ответственность, высокая обучаемость, самодисциплина, адекватное восприятие критики (это не пустые слова, это реальные качества, которые видны уже на собеседовании, так что смелее приводите примеры);   мобильность, высокие способности к адаптации, умение расставлять приоритеты и самоорганизовываться;   готовность поглощать информацию в больших объемах, постоянно учиться, проявлять инциативу в стиле “я тут накреативил, давай посмотрим”.   От нас:   удаленная работа (нужен только ноутбук и стабильный интернет);   почасовая оплата от 150 до 500 рублей в час в зависимости от сложности и объема;   масса возможностей для развития и карьерного роста внутри компании (активно ратуем за любые эффективные инициативы и предложения, даем самостоятельность в принятии и реализации решений).   В общем, у нас все напряженно и многозадачно, но весело и амбициозно. Понравившиеся резюме с портфолио мы отбираем и назначаем личные собеседования в скайпе. Дерзайте! И помните, мы берем на работу только самых лучших сотрудников. ВАЖНО: В сопроводительном письме прикрепите ссылку на портфолио и отдельно ссылку на папку с ТРЕМЯ своими самыми лучшими работами (в том числе обязательно лендинг). Также расскажите коротко, как развиваетесь в веб-дизайне (форумы, обучающие курсы, программы, конференции).";Лендинги, рекламные баннеры, поп-апы. Коммерческие предложения, презентации, шаблоны писем, инфографику. Внешние страницы сайтов и части интерфейса. Плакаты, флаги, футболки...;Навыки работы с Photoshop, СorelDRAW, InDesign, реальное портфолио, идеально - если с показателями конверсии, например, для лендингов или баннеров. ;;"Веб-дизайн;Web-дизайн;Дизайн"
26;26;Веб-дизайнер;Калининград;30000.0;;Северо-запад;2019-11-20;14;От 1 года до 3 лет;Проектная работа;Удаленная работа;Обязанности:  Разработка и отрисовка сайта с нуля.  Требования:  Коммуникабельность и креативность. Наличие портфолио.  Условия:  Удалённая работа дома или офисе. Оплата поэтапная, договорная. ;Разработка и отрисовка сайта с нуля.;Коммуникабельность и креативность. Наличие портфолио.;;
83;83;Веб-дизайнер;Киров;30000.0;;Студия Арт Нэт;2019-11-28;6;От 1 года до 3 лет;Полная занятость;Полный день;"ООО «Студия Арт Нэт», работаем на рынке IT услуг с 2008 года. За это время разработано более 500 сайтов различного уровня сложности, ведётся свыше 60 успешных рекламных кампаний и не менее 100 интернет ресурсов продвигается в ТОП поисковых систем. Входим в ТОП 300 лучших студий России. Являемся аккредитованной организацией Министерством связи и массовых коммуникаций РФ, осуществляющей деятельность в области информационных технологий. Более 500 клиентов из России и зарубежья. Хочешь зарабатывать и развиваться в нашей дружной команде – читай дальше! Ищем умного и креативного сотрудника на должность ВЕБ-дизайнер. ФРИЛАНСЕРОВ НЕ РАССМАТРИВАЕМ!  Мы ждем от Вас:  Активную жизненную позицию; Опыт работы в веб-дизайне; Знание графических редакторов Photoshop и CorelDraw;  В Ваши обязанности будет входить:  Дизайн новых и редизайн существующих сайтов; Создание web-баннеров для сайтов и соцсетей; Проектирование интерактивных элементов для сайтов; Разработка дизайн-концепций, прототипов; Дизайн логотипов, фирменных стилей, брендбуков и т.п.  Мы предлагаем:  Работа в офисе с 9:00 до 18:00, без переработок; 5 дневная рабочая неделя; Оформление по ТК, соц.пакет; Обучение и повышение квалификации за счёт компании в любых городах; Уютный, светлый офис в центре города; Пицца, роллы и вкусняшки по пятницам; Совместные корпоративные мероприятия; Чай, кофе, сливки по вкусу; В офисе холодильник и микроволновка; Повышение зарплаты с увеличением опыта и объёма работы; Заказываем любые книги для повышения квалификации; Корпоративное обучение английскому языку в офисе (по желанию); Серьёзные перспективы роста, повышение должности и зарплаты от опыта; Дружный молодой коллектив.  На все вопросы с удовольствием ответим по телефону или на собеседовании. Знаете что такое Photoshop? Не боитесь адаптивного дизайна? Отлично — ждём вас, будет интересно! ;) Обязательно портфолио. Спасибо!";Дизайн новых и редизайн существующих сайтов. Создание web-баннеров для сайтов и соцсетей. Проектирование интерактивных элементов для сайтов. ;Активную жизненную позицию. Опыт работы в веб-дизайне. Знание графических редакторов Photoshop и CorelDraw.;;
1265;1265;Веб-дизайнер;Рязань;40000.0;;Икра, Дизайн-студия;2019-12-02;2;От 1 года до 3 лет;Полная занятость;Полный день;Требования:  опыт работы в дизайне обязателен работа в офисе, работу удаленно не рассматриваем! опыт разработки адаптивного дизайна обязателен целеустремленность, обучаемость, внимательность, желание профессионально развиваться.  Условия:  график работы 5/2, 9.00-18.00 оборудованное рабочее место молодой и дружный коллектив творческая и увлекательная работа возможность профессионального роста офис в центре города  Обязанности:  разработка дизайна сайтов разработка дизайна полиграфической и другой рекламной продукции.   ;Разработка дизайна сайтов. Разработка дизайна полиграфической и другой рекламной продукции.;Опыт работы в дизайне обязателен. Работа в офисе, работу удаленно не рассматриваем! Опыт разработки адаптивного дизайна обязателен. Целеустремленность, обучаемость, внимательность...;;"Веб-дизайн;Adobe Photoshop;Графический дизайн;Adobe Illustrator;Web-дизайн;Дизайн;CorelDRAW;Полиграфический дизайн;Дизайн интерфейсов"
